%%%%%%%userID	taskid	serpIndexinTask	main_rank	deep_rank	content_rank	url
091401	1	0	3	-1	0	http://articles.cnn.com/2011-11-03/tech/tech_innovation_steve-jobs-book-sales_1_simon-schuster-steve-jobs-walter-isaacson?_s=PM:TECH
091401	1	0	3	-1	1	#
091401	1	0	3	-1	2	/search?q=best+selling+book+2011+us&hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&prmd=imvns&tbs=ppl_ids:--112966781160344565713-,ppl_nps:Brandon+Griggs,ppl_aut:1&sa=X&ei=H0tTUIu6H4a88ASZq4GICA&ved=0CCoQ_RYwAw
091401	1	0	3	-1	3	https://profiles.google.com/112966781160344565713
091401	1	0	3	-1	4	/search?q=best+selling+book+2011+us&hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&prmd=imvns&tbs=ppl_ids:--112966781160344565713-,ppl_nps:Brandon+Griggs,ppl_aut:1&sa=X&ei=H0tTUIu6H4a88ASZq4GICA&ved=0CC4QnxYwAw
091401	1	0	4	-1	-1	http://www.guardian.co.uk/news/datablog/2011/dec/29/bestselling-books-2011-nielsen
091401	1	0	4	-1	0	http://www.guardian.co.uk/news/datablog/2011/dec/29/bestselling-books-2011-nielsen
091401	1	0	4	-1	1	#
091401	1	0	5	-1	-1	http://www.msnbc.msn.com/id/45165770/ns/business-forbes_com/t/best-selling-vehicles/
091401	1	0	5	-1	0	http://www.msnbc.msn.com/id/45165770/ns/business-forbes_com/t/best-selling-vehicles/
091401	1	0	5	-1	1	#
091401	1	0	6	-1	-1	http://www.forbes.com/sites/joannmuller/2011/11/02/the-best-selling-cars-of-2011/
091401	1	0	6	-1	0	http://www.forbes.com/sites/joannmuller/2011/11/02/the-best-selling-cars-of-2011/
091401	1	0	6	-1	1	#
091401	1	0	7	-1	-1	http://www.nerdwallet.com/blog/credit-card-benefits/rental-car-insurance/
091401	1	0	7	-1	0	http://www.nerdwallet.com/blog/credit-card-benefits/rental-car-insurance/
091401	1	0	7	-1	1	#
091401	1	0	8	-1	-1	http://www.nytimes.com/best-sellers-books/overview.html
091401	1	0	8	-1	0	http://www.nytimes.com/best-sellers-books/overview.html
091401	1	0	8	-1	1	/search?hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&q=related:www.nytimes.com/best-sellers-books/overview.html+best+selling+book+2011+us&tbo=1&sa=X&ei=H0tTUIu6H4a88ASZq4GICA&ved=0CEIQHzAI
091401	1	0	8	-1	2	#
091401	1	0	8	-1	3	/search?q=best+selling+book+2011+us&hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&prmd=imvns&tbs=qdr:d&tbo=u&sa=X&ei=H0tTUIu6H4a88ASZq4GICA&ved=0CEMQmAcwCA
091401	1	0	9	-1	-1	http://www.amazon.com/Favorite-Best-Sellers-2010-2011/lm/R17JQHTGA67HHH
091401	1	0	9	-1	0	http://www.amazon.com/Favorite-Best-Sellers-2010-2011/lm/R17JQHTGA67HHH
091401	1	0	9	-1	1	/search?hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&q=related:www.amazon.com/Favorite-Best-Sellers-2010-2011/lm/R17JQHTGA67HHH+best+selling+book+2011+us&tbo=1&sa=X&ei=H0tTUIu6H4a88ASZq4GICA&ved=0CEYQHzAJ
091401	1	0	9	-1	2	#
091401	2	0	0	-1	-1	http://www.vegvine.com/USA/Lenox-Square-Finance-GA/31126
091401	2	0	0	-1	0	http://www.vegvine.com/USA/Lenox-Square-Finance-GA/31126
091401	2	0	0	-1	1	#
091401	2	0	1	-1	-1	http://www.urbanspoon.com/ps/9/7832/atlanta-lenox-square-nearby-restaurants
091401	2	0	1	-1	0	http://www.urbanspoon.com/ps/9/7832/atlanta-lenox-square-nearby-restaurants
091401	2	0	1	-1	1	#
091401	2	0	2	-1	-1	http://www.urbanspoon.com/m/r/9/124570
091401	2	0	2	-1	0	http://www.urbanspoon.com/m/r/9/124570
091401	2	0	2	-1	1	#
091401	2	0	3	-1	-1	http://m.yelp.com/biz/lenox-square-grill-atlanta
091401	2	0	3	-1	0	http://m.yelp.com/biz/lenox-square-grill-atlanta
091401	2	0	3	-1	1	/search?hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&q=related:m.yelp.com/biz/lenox-square-grill-atlanta+vegetarian+restaurants+Lenox+Square&tbo=1&sa=X&ei=cExTUM2TA4rs9ATcmYCAAg&ved=0CDQQHzAD
091401	2	0	3	-1	2	#
091401	2	0	4	-1	-1	http://m.yelp.com/biz/houstons-restaurant-atlanta
091401	2	0	4	-1	0	http://m.yelp.com/biz/houstons-restaurant-atlanta
091401	2	0	4	-1	1	/search?hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&q=related:m.yelp.com/biz/houstons-restaurant-atlanta+vegetarian+restaurants+Lenox+Square&tbo=1&sa=X&ei=cExTUM2TA4rs9ATcmYCAAg&ved=0CDkQHzAE
091401	2	0	4	-1	2	#
091401	2	0	5	-1	-1	http://buckhead.patch.com/listings/lenox-square-grill
091401	2	0	5	-1	0	http://buckhead.patch.com/listings/lenox-square-grill
091401	2	0	5	-1	1	#
091401	2	0	6	-1	-1	http://www.soyouwanna.com/japanese-restaurants-atlanta-georgia-34240.html
091401	2	0	6	-1	0	http://www.soyouwanna.com/japanese-restaurants-atlanta-georgia-34240.html
091401	2	0	6	-1	1	#
091401	2	0	7	-1	-1	http://h2sr.com/prime/wp-content/uploads/2012/05/12-Feb-1.-PRIME-EVENT-GUIDE.pdf
091401	2	0	7	-1	0	http://h2sr.com/prime/wp-content/uploads/2012/05/12-Feb-1.-PRIME-EVENT-GUIDE.pdf
091401	2	0	7	-1	1	#
091401	2	0	7	-1	2	http://docs.google.com/viewer?a=v&q=cache:LKfcLXAiwmoJ:h2sr.com/prime/wp-content/uploads/2012/05/12-Feb-1.-PRIME-EVENT-GUIDE.pdf+vegetarian+restaurants+Lenox+Square&hl=en&gl=us&pid=bl&srcid=ADGEEShfbP1hIcfMDRsw6B_CeLJOQ1r6AbmRI7yAiG4ky4Rd_eHAB3hwyp9lB9mjrGApNB1-b7_ThnxuKOxOEpmpelZc70HGrnThjX7QTSe9quPNPvvNCnih3lA1k1q2GvkNcAOTGxkH&sig=AHIEtbR1CIoGF9gLd-9GQ9VuePLKDxkGTA
091401	2	0	8	-1	-1	http://www.atlanta-restaurants.org/tag/Top-Five-Restaurants-near-Lenox-Square-Mall,Atlanta-GA/71
091401	2	0	8	-1	0	http://www.atlanta-restaurants.org/tag/Top-Five-Restaurants-near-Lenox-Square-Mall,Atlanta-GA/71
091401	2	0	8	-1	1	#
091401	2	0	9	-1	-1	http://www.centraarchy.com/LSG/
091401	2	0	9	-1	0	http://www.centraarchy.com/LSG/
